[00:00:10,480] Speaker 0: 大家好，欢迎收听探极生物生存指南，我是爱读文献的梦妮。
[00:09:07,565] Speaker 0: 简单来说，我们高中地理都学过，海洋的海水是流动的，这些海水呢会沿着一定的方向，以相对稳定的流速大规模的移动，而这就是洋流。
[00:09:20,445] Speaker 0: 这些海水的流动会给各个地方带来降水，带来温度湿度，带来几乎一切我们可以被称为气候的东西。
[00:09:30,125] Speaker 0: 而目前为止，这样的洋流是非常稳定的，它已经在一个稳定的模式下流动了将近一万年。
[00:09:37,725] Speaker 0: 它从南到北，又从北到南，以一种非常稳定的路线移动。
[00:09:42,926] Speaker 0: 不过，你有没有想过，就是这些海水的流向是如何形成的呢？
[00:09:48,524] Speaker 0: 到底是什么把它们推动的？
[00:09:51,326] Speaker 0: 那一个很显而易见的推动力就是风，风会吹动海水让它移动起来。
[00:09:58,046] Speaker 0: 但其实风只能吹动表面的海水，要驱动深层海水大范围移动的，其实是不同地区流向海洋的水的温度和咸度都不太一样。
[00:10:11,804] Speaker 0: 也就是说，温差以及咸度的差别会让水流动起来。
[00:10:16,926] Speaker 0: 比如说热胀冷缩，所以如果水温很高，那它就会膨胀，密度就会变小，就会上升。
[00:10:24,286] Speaker 0: 咸度也是一样，越咸的海水密度越大，它就会向下压。
[00:10:28,926] Speaker 0: 没办法继续向下沉的时候，它就会向两边挤压。
[00:10:33,164] Speaker 0: 而在全球范围内，这样的海水流动就已经形成了稳定的循环。
[00:10:38,926] Speaker 0: 而这个时候，如果全球变暖导致比如说南极和北极的冰川融化，这些融化到海洋里的水温度就比较低，咸度也很低，你就相当于往这个已经非常稳定的系统里引入了新的变量。
[00:10:55,725] Speaker 0: 可以想象，在一定范围里，海洋整体的流动方向还是会保持一致，因为它会有一定的容错空间。
[00:11:04,044] Speaker 0: 但是如果超越某个临界值，就非常有可能随着这些冰冷的不太咸的冰川水持续注入海洋，就会导致全球范围内的海水流动呈现出全新的状态和规律。
[00:11:18,205] Speaker 0: 而这件事情其实在整个地球的历史上也已经发生过。
[00:11:23,005] Speaker 0: 我们知道海洋的洋流会有不同的形式，比如说如果全球持续升温，冰川水持续融化，导致目前已经稳定持续了将近上万年的海洋流动切换为另一种模式的话，那我们目前所认知的气候上的热带和雨带都会向南迁移。
[00:11:43,164] Speaker 0: 而再结合到我们刚才讲的第一点，如果这个变化非常突然，以极快的速度发生的话，那可以想象的是，所有依赖热带雨林气候所生存的动物和植物都会受到威胁。
[00:11:57,725] Speaker 0: 讲到这里，你可能心中还有一点。
[00:11:59,646] Speaker 0: 小小的期望就是人应该能好点吧。
[00:12:03,806] Speaker 0: 即使大规模的气候变化确实在很短的时间尺度上发生了，那我们也有空调有暖气，生存总应该不成问题。
[00:12:13,725] Speaker 0: 但我想说还真的不一定。
[00:12:16,285] Speaker 0: 当然跟动物和植物比起来，我们抗风险和抗变化的能力是更强的。
[00:12:22,285] Speaker 0: 但即使如此，它也不是无限的。
[00:12:25,404] Speaker 0: 比如说，相信我们大部分听众都生活在城市，而每个城市的设计和建造其实都是依赖过去几十年甚至一百年左右这个城市的天气变化而决定的。
[00:12:38,206] Speaker 0: 这也就是为什么北方才有暖气，因为一直以来南方就并不需要集中供暖。
[00:12:45,086] Speaker 0: 这些所有的过去这个城市的气候变化都会体现在城市设计和资源储备的方方面面。
[00:12:52,925] Speaker 0: 如果有干旱，你就得有供水系统如果下雪，你就得储备盐撒在地上融化积雪如果天气太热，你就得确保每一个人都有空调，并且电网能够支持每一家都开空调。
[00:13:08,285] Speaker 0: 那如果气候变化真的在短时间内发生？
[00:13:12,046] Speaker 0: 如果城市即将面临自己从来也没有见过的极端天气，从来也没有适应过的新的气候？
[00:13:19,884] Speaker 0: 我们的城市又能在多大程度上完全抵御掉这些风险呢？
[00:13:25,085] Speaker 0: 你会有足够的时间去做准备去应对吗？
[00:13:29,485] Speaker 0: 也就是说，我们平时讲的气候变化不是平均升温一到两度而已，而是由此可能引发的全球气候格局的重新洗牌。
[00:13:40,046] Speaker 0: 寒带不再是寒带，热带不再是热带，雨带不再是雨带。
[00:13:44,925] Speaker 0: 那么，最关键的问题来了这个变化到底什么时候会发生？
[00:13:50,445] Speaker 0: 海洋洋流什么时候会翻转为新的模式？
[00:13:54,445] Speaker 0: 关于这个问题，我们不知道，我们没有一个准确的答案。
[00:14:01,165] Speaker 0: 因为自从有完善的洋流和气候记录以来，我们都没有经历过这样剧烈的变化。
[00:14:08,125] Speaker 0: 我们正在用地球的气候做一个之前从来没有人做过的实验。
[00:14:13,246] Speaker 0: 那我们知道的是，现在能观测到的洋流在明显减弱，但什么时候减弱到临界值，我们并不清楚。
[00:14:22,125] Speaker 0: 但仅仅是因为洋流的减弱，我们就已经能看到很多极端天气，很多你我都有切身体会的气候变化。
[00:14:30,125] Speaker 0: 而要能有效的应对这些，其实它考验的就是一个物种一个社会或是一个国家的抗风险能力。
[00:14:38,125] Speaker 0: 你有没有稳定的电网？
[00:14:39,566] Speaker 0: 有没有足够的资源储备？
[00:14:41,485] Speaker 0: 能不能在短时间内动用大量的资源，共同应对和解决危机？
[00:14:47,884] Speaker 0: 而这也就是为什么，其实在很多欠发达地区，因为气候变化而必须要迁移的难民，已经达到了千万人级别。
[00:14:57,646] Speaker 0: 这些欠发达地区往往。
[00:14:59,485] Speaker 0: 没有大规模的完成工业化，全球变暖，他们并不是主要原因，但他们却实实在在的最先承担了全球变暖的后果。
[00:15:11,884] Speaker 0: 所以把这些所有的放在一起，相信你就能理解，气候变化确实一直在发生，但是关键是它发生的速率，因为这就决定了我们作为一个物种和生态系统有没有足够的时间去调整和应对。
[00:15:28,364] Speaker 0: 而如果全球变暖以现在的速率持续发展下去，那就很有可能会导致灾难性的后果。
[00:15:36,764] Speaker 0: 也因此，我们就有了巴黎协定的签署。
[00:15:40,125] Speaker 0: 为了避免最坏的后果，我们必须将全球气温升幅控制在两摄氏度以内。
[00:15:47,244] Speaker 0: 那么，我们现在做到哪一步了呢？
[00:15:50,844] Speaker 0: 藏在所有的报告数字研究和文献背后，是一个非常精彩的也正在进行的故事。
[00:15:58,764] Speaker 0: 关于气候，关于能源，关于博弈，也关于人性。
[00:16:04,203] Speaker 0: 欢迎你收听本期探奇生物生存指南，我是爱读文献的梦妮。
[00:16:09,245] Speaker 0: 今天我们就来聊聊这个关于气候变化的宏大命题为了给地球降温，人类都在忙些什么？
[00:16:19,884] Speaker 0: 中国电力企业联合会预测，今年太阳能发电装机规模将首次超过煤电装机规模。
[00:16:25,644] Speaker 0: 作为太阳能组件制造大国，中国目前拥有全球百分之八十的制造能力。
[00:16:30,844] Speaker 0: The driving that China has done for clean energy and cooling actually has been really, really beneficial.
[00:16:35,644] Speaker 0: And I'm telling you that if you don't get away from the green energy scam, your country is going to fail.
[00:16:41,724] Speaker 0: I'm the president of the United States.
[00:16:43,965] Speaker 0: I've been right about everything.
[00:16:45,404] Speaker 0: How dare you?
[00:16:46,685] Speaker 0: People are suffering.
[00:16:48,125] Speaker 0: People are dying.
[00:16:49,644] Speaker 0: Entire ecosystems are collapsing.
[00:16:52,764] Speaker 0: How dare you那在正式开始之前呢首先说明一下本期节目里我会经常提到碳排放这里面的碳指的是二氧化碳它是我们排放到大气中的主要温室气体但当然温室气体不止二氧化碳还有其他会在地表吸收热量的气体比如甲烷.
[00:17:21,884] Speaker 0: 事实上，甲烷导致的温室效应是二氧化碳的几十倍以上。
[00:17:27,164] Speaker 0: 但还好，我们排放的甲烷远没有二氧化碳那么多。
[00:17:31,243] Speaker 0: 所以，如果这些气体中我们要找出一个主要元凶的话，还是二氧化碳首当其冲。
[00:17:38,203] Speaker 0: 那这也就是为什么大部分温室气体的讨论也都是在二氧化碳的框架下的，也是我们只说碳排放碳足迹只说碳的原因。
[00:17:50,124] Speaker 0: 那除此之外呢？
[00:17:51,403] Speaker 0: 在这里也要特别感谢巴斯夫。
[00:17:54,444] Speaker 0: 本期节目是由巴斯夫发起的选择可持续的职场路企划系列之一。
[00:18:00,285] Speaker 0: 巴斯夫这家企业很有意思，就我在跟他们沟通的时候，品牌资料包里拿到了几位具体的员工介绍，不是公司简介，而是真实的人在做什么。
[00:18:12,364] Speaker 0: 比如洛义雄每天的工作是把二氧化碳补给技术，也就是空气碳捕捉授权给全球工业客户，帮他们把技术落地变成真实运行的装置。
[00:18:24,524] Speaker 0: 杨子明在研究怎么把二氧化碳从废气变成有用的化学品。
[00:18:29,644] Speaker 0: 就你在看这些员工资料的时候，觉得真的很难得，一家企业愿意让你看见具体的人在做什么，而不只是一串项目名称。
[00:18:38,683] Speaker 0: 看着这些，你也很能理解为什么他能连续十六年蝉联中国杰出雇主。
[00:18:44,285] Speaker 0: 以及在这些荣誉背后，巴斯夫对员工职业发展和整体待遇的全方位关注。
[00:18:50,443] Speaker 0: 从持续的学习项目职业机会到福利保障员工关怀，巴斯夫创造着一个安全包容且多元的工作环境，支持员工的可持续职业发展，在兼顾身心健康与工作生活平衡的同时，让每个人在做的工作都有意义。
[00:19:08,044] Speaker 0: 而除了个体的努力，作为一家企业，在减碳这件事情上，他们也做得很系统。
[00:19:14,365] Speaker 0: 巴斯夫是一家自2008年起持续发布企业碳足迹报告的工业企业。
[00:19:20,605] Speaker 0: 自主开发了产品碳足迹计算工具，计算每一款产品从原材料提取到出厂的全链路碳排放。
[00:19:28,605] Speaker 0: 现在他们所有产品都有公开的碳足迹数据，也推出了多款零碳足迹产品。
[00:19:34,605] Speaker 0: 企业目标是二零五零年实现全球净零排放。
[00:19:39,644] Speaker 0: 在化工行业里，巴斯夫在减碳这件事上的努力还有很多很多可以讲。
[00:19:45,245] Speaker 0: 而也正是因为有这些传统产业的转型和推进，关于能源，我们才有了一个新的叙事。
[00:19:59,325] Speaker 0: 那么讲到减少二氧化碳排放减少温室效应缓解气候变化等等这些，你一定能想到的一个词就是节能减排。
[00:20:10,203] Speaker 0: 而把节能和减排放在一起，它给你很直观的感觉就是只有节能才能减排。
[00:20:17,404] Speaker 0: 也因此，我们有各种各样的节能减排活动。
[00:20:20,605] Speaker 0: 像今年正好是地球一小时二十周年，中国区活动在北京国贸举办，全世界一百多个国家熄灯一小时，呼吁能共同推进碳中和未来。
[00:20:33,164] Speaker 0: 而节能减排这个逻辑也确实没错，特别是在个体层面，节约能源也确实已经成为了一种社会趋势。
[00:20:42,605] Speaker 0: 我们在减少能源消耗的同时，自然就减少了化石燃料的消耗，而减少了化石燃料的消耗，自然就减少了二氧化碳的排放。
[00:20:53,483] Speaker 0: 这些都没错，每个个体我们也应该这样做。
[00:20:58,044] Speaker 0: 但这个逻辑一旦
[00:20:59,244] Speaker 0: 上升到群体层面，上升到国家层面，就会带来一个很大的问题，就是如果减少能源消耗是减缓气候变化的唯一途径，那么一个社会一个国家怎么发展？
[00:21:15,803] Speaker 0: 说实话，在群体层面节约能源这件事儿几乎可以等同于舒适度更低的生活。
[00:21:23,404] Speaker 0: 我们开始用电，我们有冰箱，有空调，甚至你现在可以用手机听播客，都依赖的是能源。
[00:21:31,884] Speaker 0: 而如果你去看现在所有新技术的发展，比如说AI训练集群，一个大的AI集群每年的耗电量相当于一座城市。
[00:21:42,764] Speaker 0: 我现在坐在这想，我也真的想不到，如果不消耗能源，我们要怎么让一个社会一个国家的人民生活质量提升？
[00:21:53,323] Speaker 0: 而如果老牌发达国家就是依靠化石燃料发展了经济建设了社会，那现在他们又有什么资格要求发展中国家和贫困国家要为了环境勒紧裤腰带节约能源牺牲经济建设？
[00:22:09,563] Speaker 0: 这带来的就是一个几乎法调和的矛盾。
[00:22:13,884] Speaker 0: 所以，在这个逻辑下，你就会发现唯一的解决方案其实不是节能，不。
[00:22:19,403] Speaker 0: 是少用能源，而是在使用能源的同时没有碳排放。
[00:22:24,763] Speaker 0: 也就是说，只有我们拥有足够的清洁能源，我们才能在发展的同时，在让大家过上更好生活的同时，不继续破坏气候破坏环境。
[00:22:36,123] Speaker 0: 我们需要想象的未来不是一个抠抠搜搜大家都没有办法用能源的世界，而恰恰相反，随着社会的进步，随着科技的发展，我们需要用到更多能源，而只有清洁能源才能让我们在不付出气候代价的同时持续发展。
[00:22:54,444] Speaker 0: 而为了解决发达国家发展中国家和贫困国家间的矛盾，这样的能源又必须要足够便宜，比化石燃料还要便宜。
[00:23:03,644] Speaker 0: 最好是一个能源充裕的世界，我们拥有廉价到无需计算的电力。
[00:23:10,683] Speaker 0: 这套逻辑听上去很好，但也很难，对吧？
[00:23:14,604] Speaker 0: 我们依靠化石燃料发展了那么久，便宜的清洁能源存在吗？
[00:23:20,924] Speaker 0: 但事实上，如果你对能源行业有一点点了解的话，你现在就一定会急着抢答说其实已经实现了！
[00:23:29,723] Speaker 0: 就在过去十几年的时间里，清洁能源不是石油，不是煤炭，是清洁能源可再生能源，目前已经是地球上最便宜的能源获取方式。
[00:23:42,843] Speaker 0: 也因此，关于能源，我们已然有了新的叙事。
[00:23:48,123] Speaker 0: 而要想理解这一点，我们必须要讲的就是太阳能。
[00:23:53,324] Speaker 0: 太阳能和太阳能板的发明可以一路追溯到1950到1960年代。
[00:23:58,844] Speaker 0: 当然可以想象的是，那个时候太阳能极贵，远贵于石油和煤炭。
[00:24:05,403] Speaker 0: 那为什么人们那时候要研究太阳能呢？
[00:24:09,324] Speaker 0: 答案就是有一个地方你还真的无法依赖石油依赖煤炭来产生能量，因为通过这些化石燃料获取能量，你就要燃烧就需要氧气，而有一个地方没有氧气是真空环境，那就是太空。
[00:24:25,404] Speaker 0: 所以随着人们对太空的探索，我们也慢慢意识到太阳能的重要性。
[00:24:31,163] Speaker 0: 但在一九五零六零年代，它真的很贵，只能用于有足够研究经费的国家太空项目。
[00:24:38,604] Speaker 0: 但与此同时，研究一直在推进，包括NASA在内的各国研究机构都在持续不断的优化太阳能电池的属性，尝试提高它的效率，降低成本。
[00:24:50,203] Speaker 0: 而时间快进二十年之后，澳大利亚的马丁格林教授，现在公认的太阳能之父，就首先优化了太阳能电池，大大提高了它的效率。
[00:25:01,644] Speaker 0: 而有趣的是，当你去翻看八十年代马丁格林教授实验组的研究员照片时，在这些黑白照片里，你会看到一个华人，一个中国人。
[00:25:13,723] Speaker 0: 而彼时改革开放刚起步不久，国家公派生留学计划也快。
[00:25:18,923] Speaker 0: 扩展到了除了美国之外，澳大利亚这样的国家，其中就有一位学者叫石正荣，拿到了公费出国留学的机会，前往了澳大利亚马丁格林教授组。
[00:25:30,764] Speaker 0: 而时间再快转二十年后，他学成归国，回国创办了无锡尚德太阳能电力有限公司，自此拉开了中国光伏大规模产业化的序幕。
[00:25:42,764] Speaker 0: 到这里，太阳能的价格其实就只是一个规模问题了。
[00:25:47,483] Speaker 0: 而这就是太阳能包括其他清洁能源很有趣的一点，就对比于像石油煤炭天然气这些能源来说，这些化石能源的成本主要就是燃料本身，而燃料呢是消耗品，用多少买多少，用完了还得再买。
[00:26:05,483] Speaker 0: 所以扩大生产规模这件事儿对成本的影响是比较有限的，只要你需要你就得再花钱买。
[00:26:13,724] Speaker 0: 但像太阳能和风能这样的清洁能源则不是，本质上它们的燃料是阳光是风是免费的，所以它们的成本就几乎全部在设备制造上，也因此扩大生产规模投入生产线增加产量。
[00:26:31,083] Speaker 0: 只要你有足够大的产线，产量越大，每块板的成本就越低。
[00:26:37,004] Speaker 0: 讲了这么多，其实总结下来就是，化石燃料的成本很大一部分是燃料本身，而清洁能源像太阳能的成本，其实主要是制造本身，规模越大，成本越低。
[00:26:51,083] Speaker 0: 而全世界各国其实一直没有解决这个规模和制造的问题，直到制造业大国中国的加入。
[00:26:59,771] Speaker 0: 目前可以说，我们已经垄断了全球太阳能的制造，超过百分之七十以上的太阳能都是在中国制造生产出来的。
[00:27:09,611] Speaker 0: 而也正因此，从一九五零年代快进到今天，太阳能已经成为全世界最便宜的能源获取方式。
[00:27:18,090] Speaker 0: 就在过去十年的时间里，我们已经跨越了一条隐形的界限，但是是一条意义非常重大的界限，就是风能和太阳能已经成为了最便宜的发电方式，在全世界相当多的日照充足的地区，利用太阳能发电比利用化石燃料要便宜一半以上。
[00:27:38,890] Speaker 0: 我觉得这件事情大家其实很难真的理解，包括我自己在内也是。
[00:27:44,731] Speaker 0: 就你会觉得你还没有真的适应这个现实。
[00:27:48,490] Speaker 0: 想起能源，你还是想到的是煤炭是发电厂是石油，但其实现在用的越来越多的最便宜的是太阳能是风能。
[00:27:58,890] Speaker 0: 人类没有真的理解和接受这个现实，可以体现在很多数据上。
[00:28:04,330] Speaker 0: 比如说我们现在能看到的绝大部分的官方预测都严重低估了太阳能和风能的发展速度。
[00:28:11,931] Speaker 0: 这里面包括国际能源署IEA 1998年至2010年间他们反复预测光伏。
[00:28:18,890] Speaker 0: 年增长率为百分之十六到百分之三十，远低于实际增长率。
[00:28:24,491] Speaker 0: 而即使是描述全球能源系统向完全可持续转型的情形，比如德国全球变化咨询委员会，他们也大幅低估了光伏的增长。
[00:28:35,771] Speaker 0: 即使是最乐观的绿色和平组织Greenpeace，在二零零七和二零一零年间发布的最乐观的估计，也低估了增长动态，并且大部分这些预测都预计太阳能的发展会在一定时间的增长之后开始放缓。
[00:28:52,890] Speaker 0: 但实际上，到目前为止，太阳能依旧在以惊人的速度持续增长。
[00:28:59,371] Speaker 0: 所以，站在2026年，太阳能的规模到底是怎么样的？
[00:29:04,411] Speaker 0: 那在这个领域呢，经常被引用的一个权威机构叫做Amber，它是一家能源智库，是研究太阳能煤电等等话题的权威机构。
[00:29:14,411] Speaker 0: 他在今年四月，也就是两个月前，刚刚发布了二零二六年的全球电力展望。
[00:29:20,731] Speaker 0: 数据显示，从二零二四年到二零二五年，太阳能发电量增幅达百分之三十，创八年以来的最高增速。
[00:29:29,691] Speaker 0: 而且大家要知道，这已经是在保持了十几年太阳能高增速，所以太阳能发电量的基数已经非常庞大的情况下，我们还看到了百分之三十的增幅。
[00:29:42,811] Speaker 0: 所以，太阳能的指数级增长势头依旧强劲。
[00:29:47,370] Speaker 0: 而每年将近百分之三十的增速是什么意思？
[00:29:50,971] Speaker 0: 举个实际的例子，你就能感受到。
[00:29:53,291] Speaker 0: 二十多年前，二零零四年，全球用了一整年的时间才安装了一集。
[00:29:58,650] Speaker 0: 啊，也就是一百万千瓦的太阳能发电容量，而去年单日新增装机容量就达到了这个数字，也就是说我们去年一天就做成了二零二四年一整年的工作。
[00:30:13,929] Speaker 0: 而这其中大部分的新增装机容量都在中国。
[00:30:18,090] Speaker 0: 中国现在每天安装的太阳能电池板装机容量，就相当于一座燃煤电厂，每天哦。
[00:30:26,169] Speaker 0: 我当时看到这个数据的时候，我都觉得这件事情我怎么没有早点听说？
[00:30:31,850] Speaker 0: 真的，你不得不感叹，世界正在我们的眼前发生改变。
[00:30:36,970] Speaker 0: 而这所有的一切，也让2025年成为了清洁能源非常重要的一年。
[00:30:42,890] Speaker 0: 科研界最顶刊的杂志Science科学杂志每年都会评选科学界最重大的突破，有时候呢是重大科研进展，有时候是科学领域中对整个社会会产生深远影响的发现2022年是詹姆斯韦伯望远镜2023年是GLP减肥药2024年是HIV艾滋病的预防药物，而2025年就是可再生能源的临界点事件。
[00:31:12,249] Speaker 0: 可再生能源的发电量在全球范围内首次超越煤炭发电，这件事。
[00:31:18,889] Speaker 0: 是现代历史上第一次可再生能源超越煤炭发电，现代史上第一次煤炭发电市场份额跌破了全球发电量的三分之一。
[00:31:31,290] Speaker 0: 而除了2025年是自工业革命以来以太阳能为代表的可再生能源发电量首次超越煤炭2025年可再生能源还满足了全球全部新增用电需求。
[00:31:45,369] Speaker 0: 什么意思？
[00:31:46,009] Speaker 0: 就是像我们刚才说的，我们对能源的需求一直在增长，一直也会持续增长。
[00:31:52,650] Speaker 0: 随着AI，随着新技术的发展，我们会需要用到更多的能源，我们会需要用到更多的电。
[00:31:59,690] Speaker 0: 而在二零二五年这一整年，我们新增的用电需求就已经完全能够被清洁能源的发电量所覆盖了。
[00:32:08,730] Speaker 0: 也就是说，随着经济随着社会的持续发展，随着能源需求的逐渐提高，很有可能从去年开始往后的每一年，虽然我们需要更多的能源，但我们并不需要燃烧更多的化石燃料了。
